id;proveedorId;fechaCreacion;estado
PED-0001;P002;2025-11-06;RECIBIDO
PED-0002;P001;2025-11-06;RECIBIDO
PED-0003;P003;2025-11-06;RECIBIDO
P-82e81987-6386-448e-bf22-9feec5926ece;P002;2025-11-06;RECIBIDO
P-6f937a9c-8984-4670-b466-bc18c4ba5e81;P001;2025-11-06;RECIBIDO
P-87133868-389f-47ac-aa11-e30cbf724869;P002;2025-11-08;RECIBIDO
P-a98964c5-592e-44be-983c-cc7e6204d092;P001;2025-11-08;RECIBIDO
P-7f53d993-6ca5-4ebb-861b-467be9610faa;P001;2025-11-08;RECIBIDO
P-fb800c28-d1b3-4b89-acc5-dd1d38f45b9e;P001;2025-11-08;PENDIENTE
P-bb1cf539-43af-4989-9195-25ddc4996726;P001;2025-11-13;RECIBIDO
P-cfa0cf0f-10cd-4ffb-8c52-8f1cdc8cac5a;P001;2025-11-13;RECIBIDO
P-f0bd552f-8349-4e12-aca5-18c427a7d914;P003;2025-11-14;RECIBIDO
P-d34a920d-8201-4c50-b7ce-69ea22fb82bb;P003;2025-11-14;RECIBIDO
